,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
64,65,-15.595240861862743,1.3113716512691553e-07,0,5.723858077288924e-06,205,825.0,2093,236,267,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.001735053743690684
65,66,-15.595242633881792,1.7720190488290655e-06,0,3.951839028459858e-06,266,838.0,2126,242,267,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.001747180303164809
66,67,-15.595242771909387,1.380275946871734e-07,0,3.8138114337726847e-06,319,851.0,2159,253,267,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0011838174194933582
67,68,-15.595242867113667,9.520428001508208e-08,0,3.7186071537576026e-06,223,864.0,2192,264,267,"d_q_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",-0.0018136909634746618
68,69,-15.595242908223392,4.1109725401611286e-08,0,3.6774974283559914e-06,116,877.0,2225,275,275,"d_q_exc_[0, 1]_[4, 13]","[[0, 1], [4, 13]]",0.00034627051216852724
69,70,-15.595243007622816,9.939942380299271e-08,0,3.5780980045529986e-06,194,890.0,2258,286,286,"d_q_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",-0.00037947129699417533
70,71,-15.595243053277455,4.565463918027035e-08,0,3.5324433653727283e-06,258,903.0,2291,297,297,"d_q_exc_[0, 2]_[4, 12]","[[0, 2], [4, 12]]",0.0049853039322164715
71,72,-15.595243107686635,5.4409179384151685e-08,0,3.4780341859885766e-06,250,916.0,2324,308,308,"d_q_exc_[0, 11]_[12, 13]","[[0, 11], [12, 13]]",0.003123548773717698
72,73,-15.595243369492271,2.6180563672539847e-07,0,3.216228549263178e-06,295,929.0,2357,319,319,"d_q_exc_[0, 5]_[4, 11]","[[0, 5], [4, 11]]",-0.001135598087517366
73,74,-15.595243409717739,4.022546740145572e-08,0,3.1760030818617224e-06,339,942.0,2390,330,330,"d_q_exc_[0, 11]_[5, 12]","[[0, 11], [5, 12]]",0.0021849052248315826
74,75,-15.595244341779653,9.320619138719621e-07,0,2.2439411679897603e-06,363,955.0,2423,330,330,"d_q_exc_[4, 13]_[6, 7]","[[4, 13], [6, 7]]",0.14343780094630523
75,76,-15.595244393166217,5.138656433700817e-08,0,2.192554603652752e-06,327,968.0,2456,330,330,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.003007104707392884
76,77,-15.595245048194387,6.55028170370997e-07,0,1.537526433281755e-06,342,981.0,2489,330,330,"d_q_exc_[2, 13]_[3, 4]","[[2, 13], [3, 4]]",0.06833054765658225
77,78,-15.595245080535863,3.234147527564346e-08,0,1.5051849580061116e-06,280,994.0,2522,330,330,"d_q_exc_[1, 12]_[10, 13]","[[1, 12], [10, 13]]",0.011982802242452203
