INFO 2021-03-17 18:43:06,151 q_exc type, prob_2=1e-05, time_cx=0, backend=<class 'src.backends.QiskitSimBackend'>, n_shots=1000000.0, method =automatic, optimizer=Nelder-Mead
INFO 2021-03-17 18:43:06,152 Length of q_exc based ansatz is 3
INFO 2021-03-17 18:43:06,153 Noise model generated for prob_1 = 0, prob_2=1e-05, prob_meas=1e-05 time_single_gate=0, time_cx=0, time_meas=0, t1=50000.0, t2=50000.0. No coupling map.
INFO 2021-03-17 18:43:06,153 Backend is <class 'src.backends.QiskitSimBackend'>, n_shots=1000000.0, method=automatic
INFO 2021-03-17 18:43:06,155 -----Running VQE for: H4-----
-----Number of electrons: 4-----
-----Number of orbitals: 8-----
-----Numeber of ansatz elements: 3-----
-----Statevector and energy calculated using <class 'src.backends.QiskitSimBackend'>------
-----Optimizer Nelder-Mead------

INFO 2021-03-17 18:43:36,727 Iteration: 68. Energy -2.119178960102477.  Energy change -6.188e-05 , Iteration duration: 0.6152586936950684 Params: [-0.09091767 -0.00511398 -0.00459819]
INFO 2021-03-17 18:43:37,076 Iteration: 69. Energy -2.1225781110802564.  Energy change -3.399e-03 , Iteration duration: 0.3509683609008789 Params: [-0.12426969 -0.01032204  0.00108418]
INFO 2021-03-17 18:43:37,424 Iteration: 70. Energy -2.1243203993651334.  Energy change -1.742e-03 , Iteration duration: 0.34860658645629883 Params: [-0.1342452  -0.00993006 -0.00368722]
INFO 2021-03-17 18:43:37,775 Iteration: 71. Energy -2.123405625744131.  Energy change 9.148e-04 , Iteration duration: 0.3483901023864746 Params: [-0.11491349 -0.00840104 -0.00825009]
INFO 2021-03-17 18:43:38,125 Iteration: 72. Energy -2.124199816514537.  Energy change -7.942e-04 , Iteration duration: 0.3511312007904053 Params: [-0.15591072 -0.01750184  0.00727821]
INFO 2021-03-17 18:43:38,618 Iteration: 73. Energy -2.127918956094675.  Energy change -3.719e-03 , Iteration duration: 0.3496248722076416 Params: [-0.14896238 -0.008296   -0.0190634 ]
INFO 2021-03-17 18:43:39,070 Iteration: 74. Energy -2.129706451926726.  Energy change -1.787e-03 , Iteration duration: 0.495375394821167 Params: [-0.15825521 -0.0058638  -0.03073698]
INFO 2021-03-17 18:43:39,572 Iteration: 75. Energy -2.127784383065887.  Energy change 1.922e-03 , Iteration duration: 0.45151185989379883 Params: [-0.18402727 -0.0137961  -0.00984724]
INFO 2021-03-17 18:43:40,025 Iteration: 76. Energy -2.1298515435408447.  Energy change -2.067e-03 , Iteration duration: 0.5020663738250732 Params: [-0.1617744 -0.0022248 -0.0367925]
INFO 2021-03-17 18:43:40,475 Iteration: 77. Energy -2.130369645776456.  Energy change -5.181e-04 , Iteration duration: 0.4535837173461914 Params: [-0.16372896  0.00286754 -0.05148273]
