INFO 2021-03-10 21:08:58,944 Calculating excitation generators
DEBUG 2021-03-10 21:08:58,944 Automatically increasing RLIMIT_NOFILE to max value of 524288
INFO 2021-03-10 21:09:05,376 -----Running VQE for: H4-----
-----Number of electrons: 4-----
-----Number of orbitals: 8-----
-----Numeber of ansatz elements: 616-----
-----Statevector and energy calculated using <class 'src.backends.MatrixCacheBackend'>------
-----Optimizer BFGS------

INFO 2021-03-10 21:09:20,721 Iteration: 89. Energy -2.094954159829901.  Energy change 0.000e+00 , Iteration dutation: 0.16904330253601074
INFO 2021-03-10 21:09:20,890 Iteration: 90. Energy -2.094954159829901.  Energy change 0.000e+00 , Iteration dutation: 0.16874241828918457
INFO 2021-03-10 21:09:21,059 Iteration: 91. Energy -2.094954159829901.  Energy change 0.000e+00 , Iteration dutation: 0.16879820823669434
INFO 2021-03-10 21:09:21,228 Iteration: 92. Energy -2.094954159829901.  Energy change 0.000e+00 , Iteration dutation: 0.16889238357543945
INFO 2021-03-10 21:09:21,397 Iteration: 93. Energy -2.094954159829901.  Energy change 0.000e+00 , Iteration dutation: 0.16956734657287598
INFO 2021-03-10 21:09:21,566 Iteration: 94. Energy -2.094954159829901.  Energy change 0.000e+00 , Iteration dutation: 0.1688525676727295
INFO 2021-03-10 21:09:21,735 Iteration: 95. Energy -2.094954159829901.  Energy change 0.000e+00 , Iteration dutation: 0.1687908172607422
INFO 2021-03-10 21:09:21,904 Iteration: 96. Energy -2.094954159829901.  Energy change 0.000e+00 , Iteration dutation: 0.1687324047088623
INFO 2021-03-10 21:09:22,072 Iteration: 97. Energy -2.094954159829901.  Energy change 0.000e+00 , Iteration dutation: 0.16899490356445312
INFO 2021-03-10 21:09:22,241 Iteration: 98. Energy -2.0949541598299013.  Energy change -4.441e-16 , Iteration dutation: 0.1685500144958496
INFO 2021-03-10 21:09:22,411 Iteration: 99. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16904902458190918
INFO 2021-03-10 21:09:22,580 Iteration: 100. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16938233375549316
INFO 2021-03-10 21:09:22,748 Iteration: 101. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.1687464714050293
INFO 2021-03-10 21:09:22,918 Iteration: 102. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16870737075805664
INFO 2021-03-10 21:09:23,087 Iteration: 103. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16966605186462402
INFO 2021-03-10 21:09:23,257 Iteration: 104. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16891860961914062
INFO 2021-03-10 21:09:23,426 Iteration: 105. Energy -2.0949541598299013.  Energy change 0.000e+00 , Iteration dutation: 0.16991114616394043
